0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0
0.0, 0.0|2.30476, 0.87|2.29848, 0.87|2.29848, 0.87|2.2922, 0.87|2.2922, 0.868|2.28592, 0.868|2.28592, 0.866|2.28592, 0.866|2.27964, 0.866|2.27964, 0.864|2.27336, 0.864|2.27336, 0.864|2.26708, 0.864|2.26708, 0.862|2.2608, 0.862|2.2608, 0.862|2.2608, 0.86|2.25452, 0.86|2.25452, 0.86|2.24824, 0.86|2.24824, 0.858|2.24196, 0.858|2.24196, 0.858|2.24196, 0.856|2.23568, 0.856|2.23568, 0.856|2.2294, 0.856|2.2294, 0.854|2.2294, 0.854|2.22312, 0.854|2.21684, 0.854|2.21684, 0.854|2.21684, 0.852|2.21056, 0.852|2.21056, 0.852|2.21056, 0.85|2.20428, 0.85|2.20428, 0.85|2.198, 0.85|2.198, 0.85|2.198, 0.848|2.19172, 0.848|2.19172, 0.848|2.18544, 0.848|2.18544, 0.846|2.18544, 0.846|2.17916, 0.846|2.17916, 0.846|2.17916, 0.844|2.17288, 0.844
0.0, 0.0|2.30476, 0.87|2.29848, 0.87|2.2922, 0.87|2.2922, 0.868|2.2922, 0.868|2.28592, 0.868|2.28592, 0.866|2.27964, 0.866|2.27964, 0.864|2.27336, 0.864|2.26708, 0.864|2.26708, 0.864|2.26708, 0.862|2.2608, 0.862|2.2608, 0.86|2.25452, 0.86|2.24824, 0.86|2.24824, 0.86|2.24824, 0.858|2.24196, 0.858|2.23568, 0.858|2.23568, 0.856|2.23568, 0.856|2.2294, 0.856|2.2294, 0.854|2.22312, 0.854|2.22312, 0.854|2.21684, 0.854|2.21684, 0.852|2.21056, 0.852|2.21056, 0.852|2.20428, 0.852|2.20428, 0.85|2.20428, 0.85|2.198, 0.85|2.198, 0.848|2.19172, 0.848|2.19172, 0.848|2.18544, 0.848|2.18544, 0.846|2.18544, 0.846|2.17916, 0.846|2.17288, 0.846|2.17288, 0.846|2.17288, 0.844|2.1666, 0.844|2.1666, 0.844|2.16032, 0.844|2.16032, 0.842|2.16032, 0.842
0.0, 0.0|2.30476, 0.87|2.29848, 0.87|2.2922, 0.87|2.2922, 0.868|2.28592, 0.868|2.28592, 0.866|2.27964, 0.866|2.27336, 0.866|2.27336, 0.864|2.26708, 0.864|2.26708, 0.862|2.2608, 0.862|2.2608, 0.862|2.25452, 0.86|2.25452, 0.86|2.24824, 0.86|2.24824, 0.858|2.24196, 0.858|2.23568, 0.858|2.23568, 0.856|2.2294, 0.856|2.2294, 0.856|2.22312, 0.854|2.22312, 0.854|2.21684, 0.854|2.21684, 0.852|2.21056, 0.852|2.21056, 0.852|2.20428, 0.852|2.20428, 0.85|2.198, 0.85|2.19172, 0.85|2.19172, 0.848|2.19172, 0.848|2.18544, 0.848|2.18544, 0.846|2.17916, 0.846|2.17916, 0.846|2.17288, 0.846|2.17288, 0.844|2.1666, 0.844|2.1666, 0.844|2.16032, 0.844|2.16032, 0.842|2.16032, 0.842|2.15404, 0.842|2.14776, 0.842|2.14776, 0.842|2.14776, 0.84|2.14148, 0.84
0.0, 0.0|2.30476, 0.87|2.29848, 0.87|2.2922, 0.87|2.2922, 0.868|2.28592, 0.866|2.27964, 0.866|2.27336, 0.866|2.27336, 0.864|2.26708, 0.864|2.26708, 0.862|2.2608, 0.862|2.25452, 0.862|2.25452, 0.86|2.24824, 0.86|2.24824, 0.858|2.24196, 0.858|2.23568, 0.858|2.23568, 0.856|2.2294, 0.856|2.22312, 0.856|2.22312, 0.854|2.21684, 0.854|2.21684, 0.854|2.21684, 0.852|2.21056, 0.852|2.20428, 0.852|2.20428, 0.85|2.198, 0.85|2.19172, 0.85|2.19172, 0.848|2.18544, 0.848|2.18544, 0.848|2.17916, 0.848|2.17916, 0.846|2.17288, 0.846|2.1666, 0.846|2.1666, 0.844|2.1666, 0.844|2.16032, 0.844|2.15404, 0.844|2.15404, 0.842|2.15404, 0.842|2.14776, 0.842|2.14148, 0.842|2.14148, 0.84|2.14148, 0.84|2.1352, 0.84|2.12892, 0.84|2.12892, 0.838|2.12892, 0.838
0.0, 0.0|2.30476, 0.87|2.29848, 0.87|2.2922, 0.868|2.28592, 0.868|2.28592, 0.866|2.27964, 0.866|2.27336, 0.864|2.26708, 0.864|2.26708, 0.862|2.2608, 0.862|2.25452, 0.862|2.25452, 0.86|2.24824, 0.86|2.24824, 0.858|2.24196, 0.858|2.23568, 0.858|2.2294, 0.856|2.2294, 0.856|2.22312, 0.854|2.21684, 0.854|2.21684, 0.854|2.21056, 0.852|2.21056, 0.852|2.20428, 0.852|2.198, 0.85|2.198, 0.85|2.19172, 0.85|2.19172, 0.848|2.18544, 0.848|2.17916, 0.848|2.17916, 0.846|2.17288, 0.846|2.1666, 0.846|2.1666, 0.844|2.16032, 0.844|2.16032, 0.844|2.15404, 0.844|2.15404, 0.842|2.14776, 0.842|2.14148, 0.842|2.14148, 0.84|2.14148, 0.84|2.1352, 0.84|2.12892, 0.84|2.12892, 0.838|2.12264, 0.838|2.12264, 0.838|2.11636, 0.838|2.11636, 0.836|2.11008, 0.836
0.0, 0.0|2.30476, 0.87|2.2922, 0.87|2.2922, 0.868|2.28592, 0.868|2.27964, 0.866|2.27336, 0.866|2.27336, 0.864|2.26708, 0.864|2.2608, 0.862|2.25452, 0.862|2.25452, 0.86|2.24824, 0.86|2.24196, 0.858|2.23568, 0.858|2.23568, 0.856|2.2294, 0.856|2.22312, 0.856|2.22312, 0.854|2.21684, 0.854|2.21056, 0.854|2.21056, 0.852|2.20428, 0.852|2.198, 0.85|2.19172, 0.85|2.19172, 0.85|2.18544, 0.848|2.17916, 0.848|2.17916, 0.846|2.17288, 0.846|2.1666, 0.846|2.1666, 0.846|2.16032, 0.844|2.16032, 0.844|2.15404, 0.844|2.15404, 0.842|2.14776, 0.842|2.14148, 0.842|2.14148, 0.84|2.1352, 0.84|2.12892, 0.84|2.12892, 0.84|2.12264, 0.84|2.12264, 0.838|2.11636, 0.838|2.11008, 0.838|2.11008, 0.836|2.1038, 0.836|2.1038, 0.836|2.09752, 0.836|2.09752, 0.834
0.0, 0.0|2.29848, 0.87|2.2922, 0.87|2.2922, 0.868|2.28592, 0.866|2.27964, 0.866|2.27336, 0.864|2.26708, 0.864|2.26708, 0.862|2.25452, 0.862|2.25452, 0.86|2.24824, 0.86|2.24196, 0.858|2.23568, 0.858|2.23568, 0.856|2.2294, 0.856|2.22312, 0.856|2.21684, 0.854|2.21056, 0.854|2.21056, 0.852|2.20428, 0.852|2.198, 0.852|2.198, 0.85|2.19172, 0.85|2.18544, 0.848|2.17916, 0.848|2.17288, 0.848|2.17288, 0.846|2.1666, 0.846|2.16032, 0.846|2.16032, 0.844|2.15404, 0.844|2.14776, 0.844|2.14776, 0.842|2.14148, 0.842|2.1352, 0.842|2.1352, 0.84|2.12892, 0.84|2.12264, 0.84|2.12264, 0.84|2.12264, 0.838|2.11636, 0.838|2.11008, 0.838|2.11008, 0.836|2.1038, 0.836|2.09752, 0.836|2.09124, 0.836|2.09124, 0.836|2.09124, 0.834|2.08496, 0.834|2.07868, 0.834
0.0, 0.0|2.29848, 0.87|2.2922, 0.87|2.28592, 0.868|2.28592, 0.866|2.27336, 0.866|2.27336, 0.864|2.26708, 0.862|2.2608, 0.862|2.25452, 0.862|2.24824, 0.86|2.24196, 0.86|2.23568, 0.858|2.2294, 0.858|2.2294, 0.856|2.22312, 0.854|2.21684, 0.854|2.21056, 0.854|2.21056, 0.852|2.198, 0.852|2.198, 0.85|2.19172, 0.85|2.18544, 0.85|2.18544, 0.848|2.17288, 0.848|2.17288, 0.846|2.1666, 0.846|2.16032, 0.846|2.16032, 0.844|2.15404, 0.844|2.14776, 0.844|2.14776, 0.842|2.14148, 0.842|2.1352, 0.842|2.1352, 0.84|2.12892, 0.84|2.12264, 0.84|2.11636, 0.84|2.11636, 0.838|2.11008, 0.838|2.1038, 0.838|2.1038, 0.836|2.09752, 0.836|2.09124, 0.836|2.08496, 0.836|2.08496, 0.834|2.08496, 0.834|2.07868, 0.834|2.0724, 0.834|2.0724, 0.832|2.06612, 0.832
0.0, 0.0|2.29848, 0.87|2.2922, 0.87|2.28592, 0.868|2.27964, 0.866|2.27336, 0.866|2.26708, 0.864|2.2608, 0.862|2.25452, 0.862|2.24824, 0.86|2.24196, 0.86|2.24196, 0.858|2.2294, 0.858|2.2294, 0.856|2.22312, 0.856|2.21684, 0.854|2.21056, 0.854|2.20428, 0.852|2.198, 0.852|2.198, 0.85|2.18544, 0.85|2.18544, 0.848|2.17916, 0.848|2.17288, 0.848|2.1666, 0.846|2.16032, 0.846|2.16032, 0.844|2.15404, 0.844|2.14776, 0.844|2.14148, 0.844|2.14148, 0.842|2.1352, 0.842|2.12892, 0.84|2.12264, 0.84|2.11636, 0.84|2.11636, 0.838|2.11008, 0.838|2.1038, 0.838|2.09752, 0.838|2.09752, 0.836|2.09124, 0.836|2.08496, 0.836|2.08496, 0.836|2.07868, 0.834|2.07868, 0.834|2.0724, 0.834|2.06612, 0.834|2.06612, 0.832|2.05984, 0.832|2.05356, 0.832|2.05356, 0.832
0.0, 0.0|2.29848, 0.87|2.2922, 0.868|2.28592, 0.868|2.27964, 0.866|2.27336, 0.864|2.26708, 0.864|2.2608, 0.862|2.25452, 0.86|2.24824, 0.86|2.24196, 0.858|2.23568, 0.858|2.2294, 0.856|2.22312, 0.856|2.21684, 0.854|2.21056, 0.854|2.20428, 0.852|2.198, 0.852|2.19172, 0.85|2.18544, 0.85|2.17916, 0.85|2.17288, 0.848|2.1666, 0.848|2.1666, 0.846|2.16032, 0.846|2.15404, 0.844|2.14776, 0.844|2.14148, 0.844|2.14148, 0.842|2.1352, 0.842|2.12892, 0.842|2.12264, 0.84|2.11636, 0.84|2.11008, 0.84|2.11008, 0.838|2.1038, 0.838|2.09752, 0.838|2.09752, 0.836|2.09124, 0.836|2.08496, 0.836|2.07868, 0.836|2.07868, 0.834|2.0724, 0.834|2.06612, 0.834|2.05984, 0.834|2.05984, 0.832|2.05356, 0.832|2.04728, 0.832|2.04728, 0.832|2.041, 0.832|2.041, 0.83
