0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0|0.0, 0.0
0.0, 0.0|2.29848, 0.87|2.2922, 0.868|2.28592, 0.866|2.27964, 0.866|2.27336, 0.864|2.2608, 0.864|2.25452, 0.862|2.24824, 0.86|2.24196, 0.86|2.23568, 0.858|2.2294, 0.856|2.22312, 0.856|2.21684, 0.854|2.21056, 0.854|2.20428, 0.852|2.198, 0.852|2.19172, 0.85|2.18544, 0.85|2.17916, 0.848|2.17288, 0.848|2.1666, 0.848|2.16032, 0.846|2.15404, 0.846|2.15404, 0.844|2.14776, 0.844|2.14148, 0.842|2.1352, 0.842|2.12892, 0.842|2.12264, 0.842|2.11636, 0.84|2.11008, 0.84|2.11008, 0.838|2.1038, 0.838|2.09752, 0.838|2.09124, 0.838|2.09124, 0.836|2.08496, 0.836|2.07868, 0.836|2.0724, 0.836|2.0724, 0.834|2.06612, 0.834|2.05984, 0.834|2.05356, 0.834|2.05356, 0.832|2.04728, 0.832|2.041, 0.832|2.03472, 0.832|2.03472, 0.83|2.02844, 0.83|2.02216, 0.83
0.0, 0.0|2.29848, 0.87|2.2922, 0.868|2.28592, 0.866|2.27336, 0.866|2.26708, 0.864|2.2608, 0.862|2.25452, 0.862|2.24824, 0.86|2.24196, 0.858|2.2294, 0.858|2.22312, 0.856|2.21684, 0.856|2.21056, 0.854|2.20428, 0.854|2.198, 0.852|2.19172, 0.85|2.18544, 0.85|2.17916, 0.848|2.17288, 0.848|2.1666, 0.848|2.16032, 0.846|2.15404, 0.846|2.14776, 0.844|2.14148, 0.844|2.1352, 0.844|2.12892, 0.842|2.12264, 0.842|2.12264, 0.84|2.11636, 0.84|2.1038, 0.84|2.1038, 0.838|2.09752, 0.838|2.09124, 0.838|2.09124, 0.836|2.08496, 0.836|2.07868, 0.836|2.0724, 0.836|2.06612, 0.834|2.05984, 0.834|2.05356, 0.834|2.05356, 0.832|2.04728, 0.832|2.041, 0.832|2.03472, 0.832|2.03472, 0.832|2.02844, 0.832|2.02844, 0.83|2.02216, 0.83|2.01588, 0.83|2.0096, 0.83
0.0, 0.0|2.29848, 0.87|2.2922, 0.868|2.28592, 0.866|2.27336, 0.866|2.26708, 0.864|2.2608, 0.862|2.24824, 0.862|2.24196, 0.86|2.23568, 0.858|2.2294, 0.856|2.21684, 0.856|2.21684, 0.854|2.20428, 0.854|2.198, 0.852|2.19172, 0.852|2.18544, 0.85|2.17916, 0.85|2.17288, 0.848|2.1666, 0.846|2.16032, 0.846|2.15404, 0.846|2.14776, 0.844|2.14148, 0.844|2.1352, 0.842|2.12892, 0.842|2.12264, 0.842|2.11636, 0.84|2.11008, 0.84|2.1038, 0.84|2.09752, 0.838|2.09124, 0.838|2.08496, 0.838|2.08496, 0.836|2.07868, 0.836|2.0724, 0.836|2.06612, 0.834|2.05984, 0.834|2.05356, 0.834|2.04728, 0.834|2.04728, 0.832|2.041, 0.832|2.03472, 0.832|2.02844, 0.832|2.02844, 0.83|2.02216, 0.83|2.01588, 0.83|2.0096, 0.83|2.0096, 0.83|2.00332, 0.83|1.99704, 0.83
0.0, 0.0|2.29848, 0.87|2.28592, 0.868|2.27964, 0.866|2.27336, 0.864|2.2608, 0.864|2.25452, 0.862|2.24824, 0.86|2.24196, 0.858|2.2294, 0.858|2.22312, 0.856|2.21684, 0.854|2.21056, 0.854|2.20428, 0.852|2.19172, 0.852|2.18544, 0.85|2.17916, 0.85|2.17288, 0.848|2.1666, 0.848|2.16032, 0.846|2.14776, 0.846|2.14776, 0.844|2.1352, 0.844|2.12892, 0.844|2.12892, 0.842|2.11636, 0.842|2.11636, 0.84|2.1038, 0.84|2.09752, 0.84|2.09752, 0.838|2.09124, 0.838|2.08496, 0.836|2.07868, 0.836|2.0724, 0.836|2.06612, 0.836|2.05984, 0.836|2.05356, 0.834|2.04728, 0.834|2.041, 0.834|2.041, 0.832|2.03472, 0.832|2.02844, 0.832|2.02216, 0.832|2.02216, 0.83|2.01588, 0.83|2.0096, 0.83|2.00332, 0.83|1.99704, 0.83|1.99704, 0.828|1.99076, 0.828|1.99076, 0.828
0.0, 0.0|2.29848, 0.87|2.28592, 0.868|2.27964, 0.866|2.27336, 0.864|2.2608, 0.864|2.24824, 0.862|2.24196, 0.86|2.23568, 0.858|2.2294, 0.856|2.21684, 0.856|2.21056, 0.854|2.20428, 0.854|2.198, 0.852|2.18544, 0.852|2.17916, 0.85|2.17288, 0.848|2.1666, 0.848|2.16032, 0.846|2.14776, 0.846|2.14776, 0.844|2.1352, 0.844|2.12892, 0.844|2.12264, 0.842|2.11636, 0.842|2.11008, 0.84|2.1038, 0.84|2.09752, 0.84|2.09124, 0.838|2.08496, 0.838|2.07868, 0.838|2.0724, 0.836|2.06612, 0.836|2.05984, 0.836|2.05984, 0.834|2.05356, 0.834|2.04728, 0.834|2.041, 0.834|2.03472, 0.832|2.02844, 0.832|2.02216, 0.832|2.01588, 0.832|2.01588, 0.83|2.0096, 0.83|2.00332, 0.83|1.99704, 0.83|1.99076, 0.83|1.98448, 0.83|1.98448, 0.828|1.9782, 0.828|1.9782, 0.828
0.0, 0.0|2.29848, 0.87|2.28592, 0.868|2.27964, 0.866|2.26708, 0.864|2.2608, 0.862|2.24824, 0.862|2.24196, 0.86|2.2294, 0.858|2.22312, 0.856|2.21056, 0.856|2.20428, 0.854|2.198, 0.852|2.19172, 0.852|2.18544, 0.85|2.17288, 0.85|2.1666, 0.848|2.16032, 0.846|2.15404, 0.846|2.14148, 0.846|2.1352, 0.844|2.12892, 0.844|2.12264, 0.842|2.11636, 0.842|2.11008, 0.84|2.1038, 0.84|2.09124, 0.84|2.09124, 0.838|2.08496, 0.838|2.0724, 0.838|2.0724, 0.836|2.06612, 0.836|2.05984, 0.836|2.05356, 0.834|2.04728, 0.834|2.041, 0.834|2.03472, 0.834|2.02844, 0.834|2.02216, 0.832|2.01588, 0.832|2.0096, 0.832|2.0096, 0.83|2.00332, 0.83|1.99704, 0.83|1.99076, 0.83|1.98448, 0.83|1.9782, 0.83|1.9782, 0.828|1.97192, 0.828|1.97192, 0.828|1.96564, 0.828
0.0, 0.0|2.2922, 0.87|2.28592, 0.868|2.27336, 0.866|2.26708, 0.864|2.25452, 0.862|2.24824, 0.86|2.23568, 0.86|2.2294, 0.858|2.22312, 0.856|2.21056, 0.854|2.198, 0.854|2.19172, 0.852|2.18544, 0.85|2.17916, 0.85|2.17288, 0.848|2.16032, 0.848|2.15404, 0.846|2.14148, 0.846|2.14148, 0.844|2.12892, 0.844|2.12264, 0.842|2.11636, 0.842|2.11008, 0.84|2.1038, 0.84|2.09124, 0.84|2.09124, 0.838|2.07868, 0.838|2.0724, 0.838|2.06612, 0.838|2.05984, 0.836|2.05356, 0.836|2.04728, 0.836|2.041, 0.834|2.03472, 0.834|2.02844, 0.834|2.02216, 0.834|2.02216, 0.832|2.01588, 0.832|2.0096, 0.832|2.00332, 0.832|1.99704, 0.83|1.99076, 0.83|1.98448, 0.83|1.9782, 0.83|1.9782, 0.83|1.97192, 0.83|1.96564, 0.83|1.96564, 0.828|1.95936, 0.828|1.95308, 0.828
0.0, 0.0|2.2922, 0.87|2.28592, 0.868|2.27336, 0.866|2.2608, 0.864|2.25452, 0.862|2.24824, 0.86|2.23568, 0.858|2.22312, 0.858|2.21684, 0.856|2.20428, 0.854|2.198, 0.852|2.18544, 0.852|2.17916, 0.85|2.17288, 0.848|2.16032, 0.848|2.15404, 0.848|2.14776, 0.846|2.14148, 0.844|2.12892, 0.844|2.12264, 0.844|2.11636, 0.842|2.1038, 0.842|2.1038, 0.84|2.09124, 0.84|2.08496, 0.84|2.07868, 0.838|2.0724, 0.838|2.06612, 0.836|2.05984, 0.836|2.05356, 0.836|2.04728, 0.834|2.041, 0.834|2.03472, 0.834|2.02844, 0.834|2.02216, 0.832|2.01588, 0.832|2.0096, 0.832|2.00332, 0.832|1.99704, 0.832|1.99076, 0.832|1.99076, 0.83|1.98448, 0.83|1.9782, 0.83|1.97192, 0.83|1.96564, 0.83|1.95936, 0.83|1.95936, 0.828|1.95308, 0.828|1.9468, 0.828|1.94052, 0.828
0.0, 0.0|2.2922, 0.87|2.27964, 0.868|2.27336, 0.866|2.2608, 0.864|2.25452, 0.862|2.24196, 0.86|2.2294, 0.858|2.22312, 0.856|2.21056, 0.856|2.20428, 0.854|2.19172, 0.852|2.18544, 0.85|2.17288, 0.85|2.1666, 0.848|2.15404, 0.848|2.14776, 0.846|2.14148, 0.846|2.1352, 0.844|2.12264, 0.844|2.11636, 0.842|2.11008, 0.842|2.1038, 0.84|2.09124, 0.84|2.08496, 0.84|2.07868, 0.838|2.0724, 0.838|2.05984, 0.838|2.05984, 0.836|2.04728, 0.836|2.041, 0.836|2.03472, 0.836|2.02844, 0.834|2.02216, 0.834|2.01588, 0.834|2.0096, 0.834|2.0096, 0.832|1.99704, 0.832|1.99076, 0.832|1.98448, 0.832|1.98448, 0.83|1.9782, 0.83|1.97192, 0.83|1.96564, 0.83|1.95936, 0.83|1.95308, 0.83|1.9468, 0.83|1.9468, 0.828|1.94052, 0.828|1.93424, 0.828|1.93424, 0.828
0.0, 0.0|2.2922, 0.87|2.27964, 0.868|2.27336, 0.864|2.2608, 0.864|2.24824, 0.862|2.23568, 0.86|2.2294, 0.858|2.21684, 0.856|2.21056, 0.854|2.198, 0.854|2.19172, 0.852|2.17916, 0.85|2.1666, 0.85|2.16032, 0.848|2.15404, 0.846|2.14148, 0.846|2.1352, 0.844|2.12264, 0.844|2.11636, 0.844|2.11008, 0.842|2.09752, 0.842|2.09124, 0.84|2.08496, 0.84|2.07868, 0.838|2.0724, 0.838|2.05984, 0.838|2.05356, 0.838|2.04728, 0.836|2.041, 0.836|2.03472, 0.836|2.02844, 0.834|2.02216, 0.834|2.01588, 0.834|2.0096, 0.834|2.00332, 0.832|1.99704, 0.832|1.99076, 0.832|1.98448, 0.832|1.9782, 0.832|1.97192, 0.832|1.97192, 0.83|1.96564, 0.83|1.95936, 0.83|1.95308, 0.83|1.9468, 0.83|1.94052, 0.83|1.93424, 0.83|1.92796, 0.83|1.92796, 0.828|1.92168, 0.828
0.0, 0.0|2.2922, 0.87|2.27964, 0.868|2.26708, 0.866|2.2608, 0.862|2.24824, 0.862|2.23568, 0.86|2.22312, 0.858|2.21684, 0.856|2.20428, 0.854|2.19172, 0.854|2.18544, 0.852|2.17288, 0.85|2.1666, 0.848|2.15404, 0.848|2.14776, 0.846|2.1352, 0.846|2.12892, 0.844|2.11636, 0.844|2.11008, 0.842|2.1038, 0.842|2.09752, 0.84|2.08496, 0.84|2.07868, 0.84|2.0724, 0.838|2.05984, 0.838|2.05356, 0.838|2.04728, 0.836|2.041, 0.836|2.03472, 0.836|2.02844, 0.834|2.02216, 0.834|2.01588, 0.834|2.00332, 0.834|1.99704, 0.834|1.99704, 0.832|1.99076, 0.832|1.9782, 0.832|1.97192, 0.832|1.96564, 0.832|1.96564, 0.83|1.95936, 0.83|1.95308, 0.83|1.9468, 0.83|1.94052, 0.83|1.93424, 0.83|1.92796, 0.83|1.92168, 0.83|1.92168, 0.828|1.9154, 0.828|1.90912, 0.83
0.0, 0.0|2.2922, 0.87|2.27964, 0.868|2.26708, 0.866|2.2608, 0.862|2.24824, 0.86|2.23568, 0.858|2.22312, 0.858|2.21056, 0.856|2.198, 0.854|2.19172, 0.852|2.17916, 0.852|2.1666, 0.85|2.16032, 0.848|2.14776, 0.848|2.14148, 0.846|2.12892, 0.846|2.12264, 0.844|2.11008, 0.844|2.1038, 0.842|2.09124, 0.842|2.09124, 0.84|2.07868, 0.84|2.0724, 0.838|2.06612, 0.838|2.05356, 0.838|2.04728, 0.836|2.041, 0.836|2.03472, 0.836|2.02216, 0.836|2.02216, 0.834|2.0096, 0.834|2.00332, 0.834|1.99704, 0.834|1.99076, 0.834|1.98448, 0.832|1.9782, 0.832|1.97192, 0.832|1.96564, 0.832|1.95936, 0.832|1.95308, 0.832|1.95308, 0.83|1.9468, 0.83|1.94052, 0.83|1.93424, 0.83|1.92796, 0.83|1.92168, 0.83|1.9154, 0.83|1.90912, 0.83|1.90284, 0.83|1.90284, 0.828
0.0, 0.0|2.2922, 0.87|2.27964, 0.866|2.26708, 0.864|2.25452, 0.862|2.24196, 0.86|2.2294, 0.858|2.21684, 0.858|2.20428, 0.856|2.198, 0.854|2.18544, 0.852|2.17916, 0.85|2.1666, 0.85|2.15404, 0.848|2.14776, 0.846|2.1352, 0.846|2.12892, 0.844|2.11636, 0.844|2.11008, 0.842|2.09752, 0.842|2.09124, 0.84|2.07868, 0.84|2.0724, 0.84|2.06612, 0.838|2.05356, 0.838|2.04728, 0.838|2.041, 0.836|2.03472, 0.836|2.02216, 0.836|2.01588, 0.836|2.0096, 0.834|2.00332, 0.834|1.99704, 0.834|1.99076, 0.834|1.98448, 0.832|1.9782, 0.832|1.97192, 0.832|1.96564, 0.832|1.95936, 0.832|1.9468, 0.832|1.9468, 0.83|1.94052, 0.83|1.93424, 0.83|1.92796, 0.83|1.92168, 0.83|1.9154, 0.83|1.90912, 0.83|1.90912, 0.83|1.90284, 0.83|1.89656, 0.83|1.89028, 0.83
0.0, 0.0|2.2922, 0.87|2.27964, 0.866|2.26708, 0.864|2.25452, 0.862|2.24196, 0.86|2.2294, 0.858|2.21684, 0.856|2.20428, 0.854|2.19172, 0.854|2.17916, 0.852|2.17288, 0.85|2.16032, 0.85|2.14776, 0.848|2.14148, 0.846|2.12892, 0.846|2.12264, 0.844|2.11008, 0.844|2.1038, 0.842|2.09124, 0.842|2.08496, 0.84|2.0724, 0.84|2.06612, 0.838|2.05984, 0.838|2.04728, 0.838|2.041, 0.836|2.03472, 0.836|2.02216, 0.836|2.01588, 0.836|2.0096, 0.834|2.00332, 0.834|1.99704, 0.834|1.98448, 0.834|1.9782, 0.834|1.9782, 0.832|1.97192, 0.832|1.95936, 0.832|1.95308, 0.832|1.9468, 0.832|1.94052, 0.832|1.93424, 0.832|1.92796, 0.832|1.92796, 0.83|1.92168, 0.83|1.9154, 0.83|1.90912, 0.83|1.90284, 0.83|1.89656, 0.83|1.89028, 0.83|1.89028, 0.83|1.884, 0.83
0.0, 0.0|2.2922, 0.868|2.27964, 0.866|2.26708, 0.864|2.25452, 0.862|2.23568, 0.86|2.22312, 0.858|2.21684, 0.856|2.20428, 0.854|2.19172, 0.852|2.17916, 0.852|2.1666, 0.85|2.16032, 0.848|2.14148, 0.848|2.1352, 0.846|2.12264, 0.846|2.11636, 0.844|2.1038, 0.844|2.09752, 0.842|2.08496, 0.842|2.07868, 0.84|2.06612, 0.84|2.05984, 0.838|2.05356, 0.838|2.041, 0.838|2.03472, 0.836|2.02844, 0.836|2.01588, 0.836|2.0096, 0.836|2.00332, 0.834|1.99704, 0.834|1.98448, 0.834|1.9782, 0.834|1.97192, 0.834|1.96564, 0.834|1.95936, 0.832|1.95308, 0.832|1.9468, 0.832|1.94052, 0.832|1.93424, 0.832|1.92796, 0.832|1.92168, 0.832|1.9154, 0.832|1.90912, 0.832|1.90912, 0.83|1.90284, 0.83|1.89656, 0.83|1.89028, 0.83|1.884, 0.83|1.87772, 0.83|1.87144, 0.83
0.0, 0.0|2.2922, 0.868|2.27964, 0.866|2.2608, 0.864|2.24824, 0.862|2.23568, 0.86|2.22312, 0.858|2.21056, 0.856|2.198, 0.854|2.18544, 0.852|2.17288, 0.852|2.16032, 0.85|2.15404, 0.848|2.14148, 0.846|2.12892, 0.846|2.12264, 0.844|2.11008, 0.844|2.09752, 0.842|2.09124, 0.842|2.07868, 0.842|2.0724, 0.84|2.05984, 0.84|2.05356, 0.838|2.041, 0.838|2.03472, 0.838|2.02844, 0.836|2.01588, 0.836|2.0096, 0.836|2.00332, 0.836|1.99704, 0.834|1.99076, 0.834|1.9782, 0.834|1.97192, 0.834|1.96564, 0.834|1.95936, 0.832|1.95308, 0.832|1.9468, 0.832|1.94052, 0.832|1.93424, 0.832|1.92796, 0.832|1.92168, 0.832|1.9154, 0.832|1.90912, 0.832|1.90284, 0.832|1.89656, 0.832|1.89028, 0.832|1.884, 0.832|1.87772, 0.832|1.87772, 0.83|1.87144, 0.83|1.86516, 0.83
0.0, 0.0|2.2922, 0.868|2.27964, 0.866|2.2608, 0.864|2.24824, 0.862|2.23568, 0.86|2.21684, 0.858|2.20428, 0.856|2.19172, 0.854|2.18544, 0.852|2.17288, 0.85|2.15404, 0.85|2.14776, 0.848|2.1352, 0.846|2.12264, 0.846|2.11636, 0.844|2.1038, 0.844|2.09124, 0.842|2.08496, 0.842|2.0724, 0.84|2.06612, 0.84|2.05356, 0.84|2.04728, 0.838|2.03472, 0.838|2.02844, 0.838|2.02216, 0.836|2.0096, 0.836|2.00332, 0.836|1.99704, 0.834|1.99076, 0.834|1.9782, 0.834|1.97192, 0.834|1.96564, 0.834|1.95936, 0.834|1.95308, 0.832|1.9468, 0.832|1.94052, 0.832|1.93424, 0.832|1.92796, 0.832|1.92168, 0.832|1.90912, 0.832|1.90284, 0.832|1.89656, 0.832|1.89028, 0.832|1.89028, 0.832|1.884, 0.832|1.87772, 0.832|1.87144, 0.832|1.86516, 0.832|1.85888, 0.832|1.8526, 0.832
0.0, 0.0|2.2922, 0.868|2.27336, 0.866|2.2608, 0.864|2.24196, 0.862|2.2294, 0.86|2.21684, 0.858|2.20428, 0.856|2.19172, 0.854|2.17916, 0.852|2.1666, 0.85|2.15404, 0.848|2.14148, 0.848|2.12892, 0.846|2.11636, 0.846|2.11008, 0.844|2.09752, 0.844|2.08496, 0.842|2.07868, 0.84|2.06612, 0.84|2.05984, 0.84|2.04728, 0.84|2.041, 0.838|2.02844, 0.838|2.02216, 0.836|2.01588, 0.836|2.00332, 0.836|1.99704, 0.836|1.98448, 0.836|1.98448, 0.834|1.97192, 0.834|1.96564, 0.834|1.95936, 0.834|1.9468, 0.834|1.94052, 0.834|1.93424, 0.834|1.92796, 0.834|1.92168, 0.834|1.9154, 0.832|1.90912, 0.832|1.90284, 0.832|1.89656, 0.832|1.89028, 0.832|1.884, 0.832|1.87772, 0.832|1.87772, 0.832|1.87144, 0.832|1.86516, 0.832|1.85888, 0.832|1.8526, 0.832|1.84632, 0.832
0.0, 0.0|2.2922, 0.868|2.27336, 0.866|2.2608, 0.864|2.24196, 0.862|2.2294, 0.86|2.21684, 0.856|2.20428, 0.854|2.18544, 0.854|2.17288, 0.852|2.16032, 0.85|2.15404, 0.848|2.1352, 0.848|2.12892, 0.846|2.11636, 0.844|2.1038, 0.844|2.09124, 0.844|2.07868, 0.842|2.0724, 0.84|2.05984, 0.84|2.05356, 0.84|2.041, 0.84|2.03472, 0.838|2.02216, 0.838|2.01588, 0.836|2.0096, 0.836|1.99704, 0.836|1.99076, 0.836|1.9782, 0.836|1.97192, 0.836|1.96564, 0.834|1.95936, 0.834|1.95308, 0.834|1.94052, 0.834|1.93424, 0.834|1.92796, 0.834|1.92168, 0.834|1.9154, 0.834|1.90912, 0.832|1.90284, 0.832|1.89656, 0.832|1.89028, 0.832|1.884, 0.832|1.87772, 0.832|1.87144, 0.832|1.86516, 0.832|1.86516, 0.832|1.85888, 0.832|1.8526, 0.832|1.84632, 0.832|1.84004, 0.832
0.0, 0.0|2.2922, 0.868|2.27336, 0.866|2.25452, 0.864|2.24196, 0.86|2.2294, 0.858|2.21684, 0.856|2.198, 0.854|2.18544, 0.852|2.17288, 0.852|2.16032, 0.85|2.14776, 0.848|2.1352, 0.846|2.12264, 0.846|2.11008, 0.844|2.09752, 0.844|2.09124, 0.842|2.07868, 0.842|2.06612, 0.84|2.05356, 0.84|2.04728, 0.84|2.03472, 0.838|2.02844, 0.838|2.01588, 0.838|2.0096, 0.836|2.00332, 0.836|1.99076, 0.836|1.98448, 0.836|1.97192, 0.836|1.96564, 0.836|1.95936, 0.834|1.95308, 0.834|1.94052, 0.834|1.93424, 0.834|1.92796, 0.834|1.92168, 0.834|1.9154, 0.834|1.90912, 0.834|1.90284, 0.832|1.89656, 0.832|1.89028, 0.832|1.884, 0.832|1.87772, 0.832|1.87144, 0.832|1.86516, 0.832|1.85888, 0.834|1.8526, 0.834|1.84632, 0.834|1.84632, 0.832|1.84004, 0.832|1.83376, 0.832
0.0, 0.0|2.2922, 0.868|2.27336, 0.866|2.25452, 0.864|2.24196, 0.86|2.22312, 0.858|2.21056, 0.856|2.198, 0.854|2.18544, 0.852|2.1666, 0.852|2.15404, 0.85|2.14148, 0.848|2.12892, 0.846|2.11636, 0.846|2.1038, 0.844|2.09124, 0.844|2.08496, 0.842|2.0724, 0.842|2.05984, 0.84|2.04728, 0.84|2.041, 0.838|2.02844, 0.838|2.02216, 0.838|2.0096, 0.838|2.00332, 0.836|1.99704, 0.836|1.98448, 0.836|1.97192, 0.836|1.96564, 0.836|1.95936, 0.836|1.95308, 0.834|1.9468, 0.834|1.93424, 0.834|1.92796, 0.834|1.92168, 0.834|1.9154, 0.834|1.90912, 0.834|1.90284, 0.834|1.89028, 0.834|1.884, 0.834|1.87772, 0.834|1.87144, 0.834|1.86516, 0.834|1.86516, 0.834|1.85888, 0.834|1.8526, 0.834|1.84632, 0.834|1.84004, 0.834|1.83376, 0.834|1.82748, 0.834|1.82748, 0.834
0.0, 0.0|2.2922, 0.868|2.27336, 0.866|2.25452, 0.864|2.24196, 0.86|2.22312, 0.858|2.21056, 0.856|2.19172, 0.854|2.17916, 0.852|2.1666, 0.85|2.14776, 0.85|2.1352, 0.848|2.12892, 0.846|2.11008, 0.846|2.1038, 0.844|2.08496, 0.844|2.07868, 0.842|2.06612, 0.842|2.05356, 0.84|2.041, 0.84|2.03472, 0.838|2.02844, 0.838|2.01588, 0.838|2.00332, 0.838|1.99704, 0.836|1.99076, 0.836|1.9782, 0.836|1.96564, 0.836|1.95936, 0.836|1.95308, 0.836|1.9468, 0.834|1.94052, 0.834|1.92796, 0.834|1.92168, 0.834|1.9154, 0.834|1.90912, 0.834|1.90284, 0.834|1.89656, 0.834|1.89028, 0.834|1.87772, 0.834|1.87144, 0.834|1.86516, 0.834|1.85888, 0.834|1.85888, 0.834|1.8526, 0.834|1.84632, 0.834|1.84004, 0.834|1.83376, 0.834|1.82748, 0.834|1.8212, 0.834|1.8212, 0.834
0.0, 0.0|2.28592, 0.868|2.26708, 0.866|2.25452, 0.862|2.23568, 0.86|2.22312, 0.858|2.20428, 0.856|2.19172, 0.854|2.17288, 0.852|2.16032, 0.85|2.14776, 0.848|2.1352, 0.848|2.12264, 0.846|2.11008, 0.844|2.09752, 0.844|2.08496, 0.842|2.0724, 0.842|2.05984, 0.842|2.05356, 0.84|2.041, 0.84|2.02844, 0.84|2.02216, 0.838|2.0096, 0.838|1.99704, 0.838|1.99076, 0.836|1.98448, 0.836|1.97192, 0.836|1.96564, 0.836|1.95308, 0.836|1.9468, 0.836|1.94052, 0.834|1.92796, 0.836|1.92168, 0.836|1.9154, 0.834|1.90912, 0.834|1.90284, 0.834|1.89656, 0.834|1.89028, 0.834|1.884, 0.834|1.87772, 0.834|1.87144, 0.834|1.86516, 0.834|1.85888, 0.834|1.8526, 0.834|1.84632, 0.834|1.84004, 0.834|1.83376, 0.834|1.82748, 0.834|1.8212, 0.834|1.81492, 0.836|1.80864, 0.836
0.0, 0.0|2.28592, 0.868|2.26708, 0.866|2.25452, 0.862|2.23568, 0.86|2.21684, 0.858|2.20428, 0.856|2.18544, 0.854|2.17288, 0.852|2.16032, 0.85|2.14776, 0.848|2.12892, 0.848|2.11636, 0.846|2.1038, 0.844|2.09124, 0.844|2.07868, 0.842|2.06612, 0.842|2.05356, 0.842|2.04728, 0.84|2.03472, 0.84|2.02216, 0.84|2.01588, 0.838|2.00332, 0.838|1.99076, 0.838|1.98448, 0.836|1.9782, 0.836|1.96564, 0.836|1.95936, 0.836|1.9468, 0.836|1.94052, 0.836|1.92796, 0.836|1.92168, 0.836|1.9154, 0.836|1.90912, 0.834|1.90284, 0.834|1.89656, 0.834|1.89028, 0.834|1.884, 0.834|1.87144, 0.836|1.86516, 0.836|1.85888, 0.836|1.8526, 0.836|1.84632, 0.836|1.84004, 0.836|1.83376, 0.836|1.82748, 0.836|1.82748, 0.834|1.8212, 0.836|1.81492, 0.836|1.80864, 0.836|1.80236, 0.836
0.0, 0.0|2.28592, 0.868|2.26708, 0.866|2.25452, 0.862|2.23568, 0.86|2.21684, 0.858|2.198, 0.856|2.18544, 0.854|2.1666, 0.852|2.15404, 0.85|2.14148, 0.848|2.12264, 0.848|2.11008, 0.846|2.09752, 0.844|2.08496, 0.844|2.0724, 0.842|2.05984, 0.842|2.05356, 0.84|2.041, 0.84|2.02844, 0.84|2.01588, 0.84|2.0096, 0.838|1.99704, 0.838|1.98448, 0.838|1.9782, 0.836|1.97192, 0.836|1.95936, 0.836|1.95308, 0.836|1.94052, 0.836|1.93424, 0.836|1.92168, 0.836|1.9154, 0.836|1.90912, 0.836|1.90284, 0.836|1.89656, 0.834|1.884, 0.836|1.87772, 0.836|1.87144, 0.836|1.86516, 0.836|1.85888, 0.836|1.8526, 0.836|1.84632, 0.836|1.84004, 0.836|1.83376, 0.836|1.82748, 0.836|1.8212, 0.836|1.8212, 0.836|1.81492, 0.836|1.80864, 0.836|1.80236, 0.836|1.79608, 0.836
0.0, 0.0|2.28592, 0.868|2.26708, 0.866|2.24824, 0.862|2.2294, 0.86|2.21056, 0.858|2.198, 0.856|2.17916, 0.854|2.1666, 0.852|2.14776, 0.85|2.1352, 0.848|2.12264, 0.846|2.11008, 0.846|2.09752, 0.844|2.07868, 0.844|2.0724, 0.842|2.05356, 0.842|2.04728, 0.84|2.03472, 0.84|2.02216, 0.84|2.01588, 0.838|2.00332, 0.838|1.99076, 0.838|1.9782, 0.838|1.97192, 0.838|1.96564, 0.836|1.95308, 0.836|1.9468, 0.836|1.93424, 0.836|1.92796, 0.836|1.92168, 0.836|1.90912, 0.836|1.90284, 0.836|1.89656, 0.836|1.89028, 0.836|1.87772, 0.836|1.87144, 0.836|1.86516, 0.836|1.85888, 0.836|1.8526, 0.836|1.84632, 0.836|1.84004, 0.836|1.83376, 0.836|1.82748, 0.836|1.8212, 0.836|1.8212, 0.836|1.81492, 0.836|1.80864, 0.836|1.80236, 0.836|1.79608, 0.838|1.7898, 0.838
